0,Store ID,Gregorian Date,Hijri Date,Day,Greg. Month,Hijri Month,Location,Store Size,Parking,Mall,Work Hours,Cost/day,Promotion,Customer Base,Advertisements,Competition,Customers,Profit/day
1059,fil-710,2018-10-01 00:00:00,1440-01-21,Mon,Oct,Muharram,Border,Hyper,990,No,24 hrs,SAR 42475.0,Regular,188239,56471,2,2477,SAR 131319
1060,fil-701,2018-10-02 00:00:00,1440-01-22,Tue,Oct,Muharram,Center,Regular,85,Yes,12 hrs,SAR 1161.0,None,453060,0,5,5006,SAR 223471
1061,fil-702,2018-10-02 00:00:00,1440-01-22,Tue,Oct,Muharram,Center,Grande,1375,Yes,18 hrs,SAR 349209.0,None,1917903,0,7,14959,SAR 782059
1062,fil-703,2018-10-02 00:00:00,1440-01-22,Tue,Oct,Muharram,Outskirts,Hyper,1285,No,24 hrs,SAR 27002.0,None,138913,0,1,1839,SAR 88452
1063,fil-704,2018-10-02 00:00:00,1440-01-22,Tue,Oct,Muharram,Center,Grande,510,No,12 hrs,SAR 834287.0,None,846849,0,8,15250,SAR 888546
1064,fil-705,2018-10-02 00:00:00,1440-01-22,Tue,Oct,Muharram,Border,Hyper,1980,Yes,12 hrs,SAR 29187.0,None,321071,0,2,2905,SAR 154394
1065,fil-706,2018-10-02 00:00:00,1440-01-22,Tue,Oct,Muharram,Center,Grande,790,Yes,12 hrs,SAR 182178.0,None,918096,0,11,9915,SAR 437524
1066,fil-707,2018-10-02 00:00:00,1440-01-22,Tue,Oct,Muharram,Center,Hyper,405,Yes,18 hrs,SAR 61365.0,None,331113,0,6,2979,SAR 171427
1067,fil-708,2018-10-02 00:00:00,1440-01-22,Tue,Oct,Muharram,Border,Hyper,1835,No,18 hrs,SAR 79436.0,None,275101,0,1,2558,SAR 100483
1068,fil-709,2018-10-02 00:00:00,1440-01-22,Tue,Oct,Muharram,Center,Regular,80,No,12 hrs,SAR 5424.0,None,326515,0,11,5559,SAR 263001
1069,fil-710,2018-10-02 00:00:00,1440-01-22,Tue,Oct,Muharram,Border,Hyper,990,No,24 hrs,SAR 34187.0,None,188234,0,2,3880,SAR 193698
1070,fil-701,2018-10-03 00:00:00,1440-01-23,Wed,Oct,Muharram,Center,Regular,85,Yes,12 hrs,SAR 1334.0,None,453056,0,5,3533,SAR 175717
1071,fil-702,2018-10-03 00:00:00,1440-01-23,Wed,Oct,Muharram,Center,Grande,1375,Yes,18 hrs,SAR 311524.0,Grand,1917897,958948,7,14959,SAR 687639
1072,fil-703,2018-10-03 00:00:00,1440-01-23,Wed,Oct,Muharram,Outskirts,Hyper,1285,No,24 hrs,SAR 31597.0,None,138915,0,1,1427,SAR 83733
1073,fil-704,2018-10-03 00:00:00,1440-01-23,Wed,Oct,Muharram,Center,Grande,510,No,12 hrs,SAR 689216.0,Grand,846852,254055,8,10216,SAR 459770
1074,fil-705,2018-10-03 00:00:00,1440-01-23,Wed,Oct,Muharram,Border,Hyper,1980,Yes,12 hrs,SAR 35828.0,None,321071,0,2,5424,SAR 228769
1075,fil-706,2018-10-03 00:00:00,1440-01-23,Wed,Oct,Muharram,Center,Grande,790,Yes,12 hrs,SAR 229308.0,Grand,918095,367238,11,9915,SAR 463792
1076,fil-707,2018-10-03 00:00:00,1440-01-23,Wed,Oct,Muharram,Center,Hyper,405,Yes,18 hrs,SAR 54344.0,None,331112,0,6,4171,SAR 215563
1077,fil-708,2018-10-03 00:00:00,1440-01-23,Wed,Oct,Muharram,Border,Hyper,1835,No,18 hrs,SAR 73836.0,Grand,275099,165059,1,5785,SAR 275155
1078,fil-709,2018-10-03 00:00:00,1440-01-23,Wed,Oct,Muharram,Center,Regular,80,No,12 hrs,SAR 5844.0,None,326511,0,11,5047,SAR 217919
1079,fil-710,2018-10-03 00:00:00,1440-01-23,Wed,Oct,Muharram,Border,Hyper,990,No,24 hrs,SAR 32143.0,Grand,188233,75293,2,1782,SAR 107310
1080,fil-701,2018-10-04 00:00:00,1440-01-24,Thu,Oct,Muharram,Center,Regular,85,Yes,12 hrs,SAR 991.0,None,453060,0,5,3533,SAR 191500
1081,fil-702,2018-10-04 00:00:00,1440-01-24,Thu,Oct,Muharram,Center,Grande,1375,Yes,18 hrs,SAR 358923.0,Regular,1917900,575370,7,12658,SAR 599299
1082,fil-703,2018-10-04 00:00:00,1440-01-24,Thu,Oct,Muharram,Outskirts,Hyper,1285,No,24 hrs,SAR 21489.0,None,138918,0,1,2512,SAR 110216
1083,fil-704,2018-10-04 00:00:00,1440-01-24,Thu,Oct,Muharram,Center,Grande,510,No,12 hrs,SAR 769477.0,Regular,846846,508107,8,14978,SAR 762120
1084,fil-705,2018-10-04 00:00:00,1440-01-24,Thu,Oct,Muharram,Border,Hyper,1980,Yes,12 hrs,SAR 34777.0,None,321076,0,2,5767,SAR 255003
1085,fil-706,2018-10-04 00:00:00,1440-01-24,Thu,Oct,Muharram,Center,Grande,790,Yes,12 hrs,SAR 221020.0,Regular,918096,275428,11,12118,SAR 451751
1086,fil-707,2018-10-04 00:00:00,1440-01-24,Thu,Oct,Muharram,Center,Hyper,405,Yes,18 hrs,SAR 53759.0,None,331118,0,6,2185,SAR 116596
1087,fil-708,2018-10-04 00:00:00,1440-01-24,Thu,Oct,Muharram,Border,Hyper,1835,No,18 hrs,SAR 85554.0,Regular,275103,165061,1,4124,SAR 203529
1088,fil-709,2018-10-04 00:00:00,1440-01-24,Thu,Oct,Muharram,Center,Regular,80,No,12 hrs,SAR 5230.0,None,326511,0,11,5106,SAR 243599
1089,fil-710,2018-10-04 00:00:00,1440-01-24,Thu,Oct,Muharram,Border,Hyper,990,No,24 hrs,SAR 30270.0,Regular,188235,75294,2,4246,SAR 206993
1090,fil-701,2018-10-05 00:00:00,1440-01-25,Fri,Oct,Muharram,Center,Regular,85,Yes,12 hrs,SAR 1374.0,Regular,453055,271833,5,5595,SAR 262732
1091,fil-702,2018-10-05 00:00:00,1440-01-25,Fri,Oct,Muharram,Center,Grande,1375,Yes,18 hrs,SAR 353931.0,None,1917902,0,7,19562,SAR 1131514
1092,fil-703,2018-10-05 00:00:00,1440-01-25,Fri,Oct,Muharram,Outskirts,Hyper,1285,No,24 hrs,SAR 29456.0,Regular,138916,69458,1,2250,SAR 78898
1093,fil-704,2018-10-05 00:00:00,1440-01-25,Fri,Oct,Muharram,Center,Grande,510,No,12 hrs,SAR 744815.0,None,846849,0,8,13312,SAR 733357
1094,fil-705,2018-10-05 00:00:00,1440-01-25,Fri,Oct,Muharram,Border,Hyper,1980,Yes,12 hrs,SAR 34283.0,Regular,321071,192642,2,2908,SAR 124377
1095,fil-706,2018-10-05 00:00:00,1440-01-25,Fri,Oct,Muharram,Center,Grande,790,Yes,12 hrs,SAR 141914.0,None,918102,0,11,6610,SAR 281879
1096,fil-707,2018-10-05 00:00:00,1440-01-25,Fri,Oct,Muharram,Center,Hyper,405,Yes,18 hrs,SAR 69726.0,Regular,331111,198666,6,2979,SAR 156723
1097,fil-708,2018-10-05 00:00:00,1440-01-25,Fri,Oct,Muharram,Border,Hyper,1835,No,18 hrs,SAR 64974.0,None,275104,0,1,6272,SAR 331910
1098,fil-709,2018-10-05 00:00:00,1440-01-25,Fri,Oct,Muharram,Center,Regular,80,No,12 hrs,SAR 5579.0,Regular,326510,97953,11,3702,SAR 166634
1099,fil-710,2018-10-05 00:00:00,1440-01-25,Fri,Oct,Muharram,Border,Hyper,990,No,24 hrs,SAR 33110.0,None,188234,0,2,4214,SAR 206371
1100,fil-701,2018-10-06 00:00:00,1440-01-26,Sat,Oct,Muharram,Center,Regular,85,Yes,12 hrs,SAR 1335.0,Regular,453057,226528,5,6478,SAR 307536
1101,fil-702,2018-10-06 00:00:00,1440-01-26,Sat,Oct,Muharram,Center,Grande,1375,Yes,18 hrs,SAR 352759.0,None,1917898,0,7,16110,SAR 877007
1102,fil-703,2018-10-06 00:00:00,1440-01-26,Sat,Oct,Muharram,Outskirts,Hyper,1285,No,24 hrs,SAR 31044.0,Regular,138916,41674,1,2517,SAR 125163
1103,fil-704,2018-10-06 00:00:00,1440-01-26,Sat,Oct,Muharram,Center,Grande,510,No,12 hrs,SAR 810978.0,None,846846,0,8,14513,SAR 710677
1104,fil-705,2018-10-06 00:00:00,1440-01-26,Sat,Oct,Muharram,Border,Hyper,1980,Yes,12 hrs,SAR 29659.0,Regular,321070,160535,2,2726,SAR 134228
1105,fil-706,2018-10-06 00:00:00,1440-01-26,Sat,Oct,Muharram,Center,Grande,790,Yes,12 hrs,SAR 209701.0,None,918097,0,11,8813,SAR 414430
1106,fil-707,2018-10-06 00:00:00,1440-01-26,Sat,Oct,Muharram,Center,Hyper,405,Yes,18 hrs,SAR 47712.0,Regular,331116,165558,6,2980,SAR 163833
1107,fil-708,2018-10-06 00:00:00,1440-01-26,Sat,Oct,Muharram,Border,Hyper,1835,No,18 hrs,SAR 69749.0,None,275098,0,1,6212,SAR 335708
1108,fil-709,2018-10-06 00:00:00,1440-01-26,Sat,Oct,Muharram,Center,Regular,80,No,12 hrs,SAR 4929.0,Regular,326514,97954,11,4554,SAR 269708
1109,fil-710,2018-10-06 00:00:00,1440-01-26,Sat,Oct,Muharram,Border,Hyper,990,No,24 hrs,SAR 35332.0,None,188239,0,2,1833,SAR 96600
1110,fil-701,2018-10-07 00:00:00,1440-01-27,Sun,Oct,Muharram,Center,Regular,85,Yes,12 hrs,SAR 1467.0,None,453055,0,5,4417,SAR 230161
1111,fil-702,2018-10-07 00:00:00,1440-01-27,Sun,Oct,Muharram,Center,Grande,1375,Yes,18 hrs,SAR 313267.0,None,1917900,0,7,17261,SAR 819071
1112,fil-703,2018-10-07 00:00:00,1440-01-27,Sun,Oct,Muharram,Outskirts,Hyper,1285,No,24 hrs,SAR 33178.0,None,138919,0,1,3173,SAR 201777
1113,fil-704,2018-10-07 00:00:00,1440-01-27,Sun,Oct,Muharram,Center,Grande,510,No,12 hrs,SAR 706006.0,None,846847,0,8,14802,SAR 784201
1114,fil-705,2018-10-07 00:00:00,1440-01-27,Sun,Oct,Muharram,Border,Hyper,1980,Yes,12 hrs,SAR 31544.0,None,321072,0,2,3234,SAR 164511
1115,fil-706,2018-10-07 00:00:00,1440-01-27,Sun,Oct,Muharram,Center,Grande,790,Yes,12 hrs,SAR 180468.0,None,918096,0,11,5508,SAR 307554
1116,fil-707,2018-10-07 00:00:00,1440-01-27,Sun,Oct,Muharram,Center,Hyper,405,Yes,18 hrs,SAR 54646.0,None,331112,0,6,4569,SAR 249751
1117,fil-708,2018-10-07 00:00:00,1440-01-27,Sun,Oct,Muharram,Border,Hyper,1835,No,18 hrs,SAR 77388.0,None,275097,0,1,3415,SAR 169611
1118,fil-709,2018-10-07 00:00:00,1440-01-27,Sun,Oct,Muharram,Center,Regular,80,No,12 hrs,SAR 4695.0,None,326512,0,11,4917,SAR 237809
1119,fil-710,2018-10-07 00:00:00,1440-01-27,Sun,Oct,Muharram,Border,Hyper,990,No,24 hrs,SAR 32279.0,None,188233,0,2,3568,SAR 146353
1120,fil-701,2018-10-08 00:00:00,1440-01-28,Mon,Oct,Muharram,Center,Regular,85,Yes,12 hrs,SAR 1420.0,Grand,453059,135917,5,3828,SAR 212344
1121,fil-702,2018-10-08 00:00:00,1440-01-28,Mon,Oct,Muharram,Center,Grande,1375,Yes,18 hrs,SAR 379872.0,None,1917903,0,7,14959,SAR 715867
1122,fil-703,2018-10-08 00:00:00,1440-01-28,Mon,Oct,Muharram,Outskirts,Hyper,1285,No,24 hrs,SAR 23809.0,Grand,138915,69457,1,3048,SAR 126344
1123,fil-704,2018-10-08 00:00:00,1440-01-28,Mon,Oct,Muharram,Center,Grande,510,No,12 hrs,SAR 778335.0,None,846848,0,8,13244,SAR 748184
1124,fil-705,2018-10-08 00:00:00,1440-01-28,Mon,Oct,Muharram,Border,Hyper,1980,Yes,12 hrs,SAR 31570.0,Grand,321073,128429,2,3407,SAR 187723
1125,fil-706,2018-10-08 00:00:00,1440-01-28,Mon,Oct,Muharram,Center,Grande,790,Yes,12 hrs,SAR 206729.0,None,918096,0,11,13220,SAR 704583
1126,fil-707,2018-10-08 00:00:00,1440-01-28,Mon,Oct,Muharram,Center,Hyper,405,Yes,18 hrs,SAR 49274.0,Grand,331111,99333,6,4767,SAR 246606
1127,fil-708,2018-10-08 00:00:00,1440-01-28,Mon,Oct,Muharram,Border,Hyper,1835,No,18 hrs,SAR 88574.0,None,275097,0,1,2555,SAR 127047
1128,fil-709,2018-10-08 00:00:00,1440-01-28,Mon,Oct,Muharram,Center,Regular,80,No,12 hrs,SAR 5572.0,Grand,326509,130603,11,4857,SAR 205927
1129,fil-710,2018-10-08 00:00:00,1440-01-28,Mon,Oct,Muharram,Border,Hyper,990,No,24 hrs,SAR 40863.0,None,188239,0,2,4069,SAR 240308
1130,fil-701,2018-10-09 00:00:00,1440-01-29,Tue,Oct,Muharram,Center,Regular,85,Yes,12 hrs,SAR 1233.0,Regular,453060,226530,5,4122,SAR 199041
1131,fil-702,2018-10-09 00:00:00,1440-01-29,Tue,Oct,Muharram,Center,Grande,1375,Yes,18 hrs,SAR 329920.0,None,1917902,0,7,13808,SAR 755367
1132,fil-703,2018-10-09 00:00:00,1440-01-29,Tue,Oct,Muharram,Outskirts,Hyper,1285,No,24 hrs,SAR 35300.0,Regular,138918,83350,1,2814,SAR 141043
1133,fil-704,2018-10-09 00:00:00,1440-01-29,Tue,Oct,Muharram,Center,Grande,510,No,12 hrs,SAR 713075.0,None,846846,0,8,15568,SAR 911184
1134,fil-705,2018-10-09 00:00:00,1440-01-29,Tue,Oct,Muharram,Border,Hyper,1980,Yes,12 hrs,SAR 29942.0,Regular,321072,96321,2,4822,SAR 236879
1135,fil-706,2018-10-09 00:00:00,1440-01-29,Tue,Oct,Muharram,Center,Grande,790,Yes,12 hrs,SAR 173130.0,None,918099,0,11,7711,SAR 345229
1136,fil-707,2018-10-09 00:00:00,1440-01-29,Tue,Oct,Muharram,Center,Hyper,405,Yes,18 hrs,SAR 60980.0,Regular,331114,165557,6,3774,SAR 196220
1137,fil-708,2018-10-09 00:00:00,1440-01-29,Tue,Oct,Muharram,Border,Hyper,1835,No,18 hrs,SAR 87056.0,None,275105,0,1,5002,SAR 250624
1138,fil-709,2018-10-09 00:00:00,1440-01-29,Tue,Oct,Muharram,Center,Regular,80,No,12 hrs,SAR 5625.0,Regular,326517,195910,11,4296,SAR 241061
1139,fil-710,2018-10-09 00:00:00,1440-01-29,Tue,Oct,Muharram,Border,Hyper,990,No,24 hrs,SAR 35565.0,None,188236,0,2,1987,SAR 98931
1140,fil-701,2018-10-10 00:00:00,1440-02-01,Wed,Oct,Safar,Center,Regular,85,Yes,12 hrs,SAR 1226.0,None,453054,0,5,5889,SAR 284191
1141,fil-702,2018-10-10 00:00:00,1440-02-01,Wed,Oct,Safar,Center,Grande,1375,Yes,18 hrs,SAR 368646.0,Regular,1917897,575369,7,14959,SAR 666626
1142,fil-703,2018-10-10 00:00:00,1440-02-01,Wed,Oct,Safar,Outskirts,Hyper,1285,No,24 hrs,SAR 32010.0,None,138921,0,1,1303,SAR 65574
1143,fil-704,2018-10-10 00:00:00,1440-02-01,Wed,Oct,Safar,Center,Grande,510,No,12 hrs,SAR 724860.0,Regular,846850,508110,8,12939,SAR 721244
1144,fil-705,2018-10-10 00:00:00,1440-02-01,Wed,Oct,Safar,Border,Hyper,1980,Yes,12 hrs,SAR 31959.0,None,321078,0,2,3899,SAR 207116
1145,fil-706,2018-10-10 00:00:00,1440-02-01,Wed,Oct,Safar,Center,Grande,790,Yes,12 hrs,SAR 191991.0,Regular,918096,459048,11,8262,SAR 382416
1146,fil-707,2018-10-10 00:00:00,1440-02-01,Wed,Oct,Safar,Center,Hyper,405,Yes,18 hrs,SAR 62490.0,None,331119,0,6,2781,SAR 158914
1147,fil-708,2018-10-10 00:00:00,1440-02-01,Wed,Oct,Safar,Border,Hyper,1835,No,18 hrs,SAR 79678.0,Regular,275099,165059,1,3411,SAR 216374
1148,fil-709,2018-10-10 00:00:00,1440-02-01,Wed,Oct,Safar,Center,Regular,80,No,12 hrs,SAR 6487.0,None,326510,0,11,4090,SAR 180069
1149,fil-710,2018-10-10 00:00:00,1440-02-01,Wed,Oct,Safar,Border,Hyper,990,No,24 hrs,SAR 31584.0,Regular,188237,112942,2,2248,SAR 108851
1150,fil-701,2018-10-11 00:00:00,1440-02-02,Thu,Oct,Safar,Center,Regular,85,Yes,12 hrs,SAR 1201.0,None,453055,0,5,5006,SAR 265297
1151,fil-702,2018-10-11 00:00:00,1440-02-02,Thu,Oct,Safar,Center,Grande,1375,Yes,18 hrs,SAR 326037.0,Regular,1917897,1150738,7,24165,SAR 1243627
1152,fil-703,2018-10-11 00:00:00,1440-02-02,Thu,Oct,Safar,Outskirts,Hyper,1285,No,24 hrs,SAR 28917.0,None,138915,0,1,2600,SAR 110541
1153,fil-704,2018-10-11 00:00:00,1440-02-02,Thu,Oct,Safar,Center,Grande,510,No,12 hrs,SAR 659599.0,Regular,846847,508108,8,14666,SAR 760339
1154,fil-705,2018-10-11 00:00:00,1440-02-02,Thu,Oct,Safar,Border,Hyper,1980,Yes,12 hrs,SAR 37098.0,None,321075,0,2,5979,SAR 287401
1155,fil-706,2018-10-11 00:00:00,1440-02-02,Thu,Oct,Safar,Center,Grande,790,Yes,12 hrs,SAR 178907.0,Regular,918097,275429,11,13220,SAR 769675
1156,fil-707,2018-10-11 00:00:00,1440-02-02,Thu,Oct,Safar,Center,Hyper,405,Yes,18 hrs,SAR 44140.0,None,331113,0,6,2185,SAR 110694
1157,fil-708,2018-10-11 00:00:00,1440-02-02,Thu,Oct,Safar,Border,Hyper,1835,No,18 hrs,SAR 71766.0,Regular,275103,165061,1,2555,SAR 117892
1158,fil-709,2018-10-11 00:00:00,1440-02-02,Thu,Oct,Safar,Center,Regular,80,No,12 hrs,SAR 5485.0,None,326517,0,11,3727,SAR 184820
1159,fil-710,2018-10-11 00:00:00,1440-02-02,Thu,Oct,Safar,Border,Hyper,990,No,24 hrs,SAR 33816.0,Regular,188234,75293,2,3855,SAR 165370
1160,fil-701,2018-10-12 00:00:00,1440-02-03,Fri,Oct,Safar,Center,Regular,85,Yes,12 hrs,SAR 1274.0,None,453054,0,5,4417,SAR 220006
1161,fil-702,2018-10-12 00:00:00,1440-02-03,Fri,Oct,Safar,Center,Grande,1375,Yes,18 hrs,SAR 338175.0,None,1917904,0,7,27617,SAR 1534466
1162,fil-703,2018-10-12 00:00:00,1440-02-03,Fri,Oct,Safar,Outskirts,Hyper,1285,No,24 hrs,SAR 28316.0,None,138915,0,1,1456,SAR 68646
1163,fil-704,2018-10-12 00:00:00,1440-02-03,Fri,Oct,Safar,Center,Grande,510,No,12 hrs,SAR 713992.0,None,846846,0,8,7191,SAR 360980
1164,fil-705,2018-10-12 00:00:00,1440-02-03,Fri,Oct,Safar,Border,Hyper,1980,Yes,12 hrs,SAR 36886.0,None,321077,0,2,4636,SAR 278494
1165,fil-706,2018-10-12 00:00:00,1440-02-03,Fri,Oct,Safar,Center,Grande,790,Yes,12 hrs,SAR 171483.0,None,918103,0,11,6059,SAR 296189
1166,fil-707,2018-10-12 00:00:00,1440-02-03,Fri,Oct,Safar,Center,Hyper,405,Yes,18 hrs,SAR 54267.0,None,331118,0,6,1986,SAR 110222
1167,fil-708,2018-10-12 00:00:00,1440-02-03,Fri,Oct,Safar,Border,Hyper,1835,No,18 hrs,SAR 89821.0,None,275099,0,1,3375,SAR 166494
1168,fil-709,2018-10-12 00:00:00,1440-02-03,Fri,Oct,Safar,Center,Regular,80,No,12 hrs,SAR 4747.0,None,326510,0,11,2448,SAR 110309
1169,fil-710,2018-10-12 00:00:00,1440-02-03,Fri,Oct,Safar,Border,Hyper,990,No,24 hrs,SAR 36869.0,None,188234,0,2,2527,SAR 134819
1170,fil-701,2018-10-13 00:00:00,1440-02-04,Sat,Oct,Safar,Center,Regular,85,Yes,12 hrs,SAR 1338.0,None,453056,0,5,6773,SAR 323527
1171,fil-702,2018-10-13 00:00:00,1440-02-04,Sat,Oct,Safar,Center,Grande,1375,Yes,18 hrs,SAR 331777.0,Grand,1917899,1150739,7,26466,SAR 1267173
1172,fil-703,2018-10-13 00:00:00,1440-02-04,Sat,Oct,Safar,Outskirts,Hyper,1285,No,24 hrs,SAR 24777.0,None,138915,0,1,2547,SAR 114134
1173,fil-704,2018-10-13 00:00:00,1440-02-04,Sat,Oct,Safar,Center,Grande,510,No,12 hrs,SAR 791662.0,Grand,846848,423424,8,14066,SAR 833599
1174,fil-705,2018-10-13 00:00:00,1440-02-04,Sat,Oct,Safar,Border,Hyper,1980,Yes,12 hrs,SAR 33505.0,None,321070,0,2,2440,SAR 131563
1175,fil-706,2018-10-13 00:00:00,1440-02-04,Sat,Oct,Safar,Center,Grande,790,Yes,12 hrs,SAR 213423.0,Grand,918099,459049,11,7161,SAR 358405
1176,fil-707,2018-10-13 00:00:00,1440-02-04,Sat,Oct,Safar,Center,Hyper,405,Yes,18 hrs,SAR 49671.0,None,331112,0,6,2185,SAR 115722
1177,fil-708,2018-10-13 00:00:00,1440-02-04,Sat,Oct,Safar,Border,Hyper,1835,No,18 hrs,SAR 72777.0,Grand,275101,82530,1,3666,SAR 162267
1178,fil-709,2018-10-13 00:00:00,1440-02-04,Sat,Oct,Safar,Center,Regular,80,No,12 hrs,SAR 4834.0,None,326512,0,11,5286,SAR 255454
1179,fil-710,2018-10-13 00:00:00,1440-02-04,Sat,Oct,Safar,Border,Hyper,990,No,24 hrs,SAR 29316.0,Grand,188237,56471,2,2770,SAR 135103
1180,fil-701,2018-10-14 00:00:00,1440-02-05,Sun,Oct,Safar,Center,Regular,85,Yes,12 hrs,SAR 1202.0,None,453055,0,5,6773,SAR 348169
1181,fil-702,2018-10-14 00:00:00,1440-02-05,Sun,Oct,Safar,Center,Grande,1375,Yes,18 hrs,SAR 372133.0,Regular,1917902,1150741,7,12658,SAR 482352
1182,fil-703,2018-10-14 00:00:00,1440-02-05,Sun,Oct,Safar,Outskirts,Hyper,1285,No,24 hrs,SAR 24812.0,None,138922,0,1,2222,SAR 98032
1183,fil-704,2018-10-14 00:00:00,1440-02-05,Sun,Oct,Safar,Center,Grande,510,No,12 hrs,SAR 709324.0,Regular,846845,508107,8,7926,SAR 446507
1184,fil-705,2018-10-14 00:00:00,1440-02-05,Sun,Oct,Safar,Border,Hyper,1980,Yes,12 hrs,SAR 30125.0,None,321078,0,2,5272,SAR 269547
1185,fil-706,2018-10-14 00:00:00,1440-02-05,Sun,Oct,Safar,Center,Grande,790,Yes,12 hrs,SAR 146261.0,Regular,918096,367238,11,7711,SAR 334196
1186,fil-707,2018-10-14 00:00:00,1440-02-05,Sun,Oct,Safar,Center,Hyper,405,Yes,18 hrs,SAR 59259.0,None,331112,0,6,4767,SAR 225877
1187,fil-708,2018-10-14 00:00:00,1440-02-05,Sun,Oct,Safar,Border,Hyper,1835,No,18 hrs,SAR 75892.0,Regular,275098,110039,1,3397,SAR 164152
1188,fil-709,2018-10-14 00:00:00,1440-02-05,Sun,Oct,Safar,Center,Regular,80,No,12 hrs,SAR 4324.0,None,326515,0,11,5145,SAR 253253
1189,fil-710,2018-10-14 00:00:00,1440-02-05,Sun,Oct,Safar,Border,Hyper,990,No,24 hrs,SAR 33118.0,Regular,188236,112941,2,1954,SAR 97400
1190,fil-701,2018-10-15 00:00:00,1440-02-06,Mon,Oct,Safar,Center,Regular,85,Yes,12 hrs,SAR 1195.0,Regular,453063,135918,5,6773,SAR 386787
1191,fil-702,2018-10-15 00:00:00,1440-02-06,Mon,Oct,Safar,Center,Grande,1375,Yes,18 hrs,SAR 316658.0,None,1917900,0,7,16110,SAR 852803
1192,fil-703,2018-10-15 00:00:00,1440-02-06,Mon,Oct,Safar,Outskirts,Hyper,1285,No,24 hrs,SAR 33430.0,Regular,138921,69460,1,2415,SAR 125853
1193,fil-704,2018-10-15 00:00:00,1440-02-06,Mon,Oct,Safar,Center,Grande,510,No,12 hrs,SAR 816045.0,None,846845,0,8,6461,SAR 322501
1194,fil-705,2018-10-15 00:00:00,1440-02-06,Mon,Oct,Safar,Border,Hyper,1980,Yes,12 hrs,SAR 30474.0,Regular,321074,128429,2,3497,SAR 168264
1195,fil-706,2018-10-15 00:00:00,1440-02-06,Mon,Oct,Safar,Center,Grande,790,Yes,12 hrs,SAR 202031.0,None,918098,0,11,12669,SAR 529474
1196,fil-707,2018-10-15 00:00:00,1440-02-06,Mon,Oct,Safar,Center,Hyper,405,Yes,18 hrs,SAR 58434.0,Regular,331112,198667,6,3178,SAR 133095
1197,fil-708,2018-10-15 00:00:00,1440-02-06,Mon,Oct,Safar,Border,Hyper,1835,No,18 hrs,SAR 83294.0,None,275100,0,1,5834,SAR 342733
1198,fil-709,2018-10-15 00:00:00,1440-02-06,Mon,Oct,Safar,Center,Regular,80,No,12 hrs,SAR 4983.0,Regular,326511,130604,11,2822,SAR 152071
1199,fil-710,2018-10-15 00:00:00,1440-02-06,Mon,Oct,Safar,Border,Hyper,990,No,24 hrs,SAR 33299.0,None,188235,0,2,3315,SAR 149720
1200,fil-701,2018-10-16 00:00:00,1440-02-07,Tue,Oct,Safar,Center,Regular,85,Yes,12 hrs,SAR 1431.0,Regular,453062,135918,5,4711,SAR 236437
1201,fil-702,2018-10-16 00:00:00,1440-02-07,Tue,Oct,Safar,Center,Grande,1375,Yes,18 hrs,SAR 355724.0,None,1917897,0,7,19562,SAR 1014823
1202,fil-703,2018-10-16 00:00:00,1440-02-07,Tue,Oct,Safar,Outskirts,Hyper,1285,No,24 hrs,SAR 31069.0,Regular,138922,41676,1,1744,SAR 79341
1203,fil-704,2018-10-16 00:00:00,1440-02-07,Tue,Oct,Safar,Center,Grande,510,No,12 hrs,SAR 803168.0,None,846848,0,8,14494,SAR 695833
1204,fil-705,2018-10-16 00:00:00,1440-02-07,Tue,Oct,Safar,Border,Hyper,1980,Yes,12 hrs,SAR 35631.0,Regular,321076,192645,2,5627,SAR 314773
1205,fil-706,2018-10-16 00:00:00,1440-02-07,Tue,Oct,Safar,Center,Grande,790,Yes,12 hrs,SAR 173478.0,None,918095,0,11,7711,SAR 337550
1206,fil-707,2018-10-16 00:00:00,1440-02-07,Tue,Oct,Safar,Center,Hyper,405,Yes,18 hrs,SAR 46315.0,Regular,331112,132444,6,4767,SAR 227557
1207,fil-708,2018-10-16 00:00:00,1440-02-07,Tue,Oct,Safar,Border,Hyper,1835,No,18 hrs,SAR 79046.0,None,275105,0,1,2530,SAR 141522
1208,fil-709,2018-10-16 00:00:00,1440-02-07,Tue,Oct,Safar,Center,Regular,80,No,12 hrs,SAR 5405.0,Regular,326509,130603,11,5437,SAR 268696
1209,fil-710,2018-10-16 00:00:00,1440-02-07,Tue,Oct,Safar,Border,Hyper,990,No,24 hrs,SAR 27821.0,None,188234,0,2,3806,SAR 179411
1210,fil-701,2018-10-17 00:00:00,1440-02-08,Wed,Oct,Safar,Center,Regular,85,Yes,12 hrs,SAR 1059.0,None,453057,0,5,6184,SAR 308694
1211,fil-702,2018-10-17 00:00:00,1440-02-08,Wed,Oct,Safar,Center,Grande,1375,Yes,18 hrs,SAR 353495.0,None,1917902,0,7,24165,SAR 1231211
1212,fil-703,2018-10-17 00:00:00,1440-02-08,Wed,Oct,Safar,Outskirts,Hyper,1285,No,24 hrs,SAR 31227.0,None,138916,0,1,2335,SAR 101535
1213,fil-704,2018-10-17 00:00:00,1440-02-08,Wed,Oct,Safar,Center,Grande,510,No,12 hrs,SAR 681037.0,None,846845,0,8,15893,SAR 904111
1214,fil-705,2018-10-17 00:00:00,1440-02-08,Wed,Oct,Safar,Border,Hyper,1980,Yes,12 hrs,SAR 27432.0,None,321071,0,2,3664,SAR 162243
